exchange_ppif	TBRU	TBRU ETF T-Capital BONDS	TBRU ETF	БПИФ Т-Капитал ОБЛИГАЦИИ	2021-07-12		
private_ppif	RU000A109G79	ZPIF GREENFLOW SCANDINAVIA	ПИФГРИНФЛО	ЗПИФ ГРИНФЛОУ СКАНДИНАВИЯ	2024-10-01		
private_ppif	RU000A0JR7Z1	PIF Domodedovskiy prom.	ПИФДомПром	УК Русь Менедж. ПИФДом.пром.	2011-02-24		
exchange_ppif	SBDS	SBDS ETF Dynamic smart	SBDS ETF	БПИФ Первая Динамичный смарт	2021-06-09		
exchange_ppif	TRUR	TRUR ETF ALL-WEATHER RUB	TRUR ETF	БПИФ Т-Кап ВЕЧНЫЙ ПОРТФ РУБ	2019-12-09		
public_ppif	RU000A0JR290	Index Moex Fund	ПИФИнМосБр	ПИФ ИндексМосБиржи УКВИМИнвест	2010-12-01		
exchange_ppif	SBMM	SBMM ETF Money Market	SBMM ETF	БПИФ Первая Сберегательный	2021-10-05		
exchange_ppif	SBGB	SBGB ETF Government Bonds	SBGB ETF	БПИФ Первая Гос. облигации	2019-01-25		
private_ppif	RU000A0JPZL7	AK BARS-Investitsii	АкБрс-Инв	Ак Барс ПИФ АК БАРС-Инвестиц	2008-10-10		
interval_ppif	RU000A102P67	IPIF Raiffeisen World Bonds	ИПИФРайфМО	ИПИФ Райффайзен Мир Облигации	2021-06-18		
interval_ppif	RU000A0JUR61	UK PERAMO IN PIF CONSERVATORia	ПИФ КОНСЕР	УК ПЕРАМО ИН ПИФ КОНСЕРВАТОРия	2014-10-21		
private_ppif	RU000A102AH5	ZPIF Sovremenniy 6	ЗПИФСовр 6	ЗПИФ Современный 6	2021-03-05		
exchange_ppif	FMMM	FMMM ETF Money market	FMMM ETF	БПИФ Финам Денежный рынок	2024-10-04		
private_ppif	RU000A0JUTH8	ZPIF Variant UK TETIS Kapital	ПИФВариант	ЗПИФ Вариант УК ТЕТИС Кэпитал	2015-03-25		
exchange_ppif	SBHI	SBHI ETF Halal investments	SBHI ETF	БПИФ Первая Халяльные инвест	2021-11-18		
interval_ppif	RU000A104FB3	MF Gazprombank - Hyperion	Гиперион	ИПИФ Газпромбанк - Гиперион	2023-12-13		
exchange_ppif	SCFT	SCFT ETF Future Technologies	SCFT ETF	БПИФ Технологии будущего	2022-02-02		
exchange_ppif	GROD	ETF GROD DOHOD GROWTH IND	ETF GROD	БПИФ ДОХОДЪ Инд акций роста	2021-06-16		
exchange_ppif	SBLB	First - Fund Bonds Longs	SBLB ETF	БПИФПервая Долгосроч.гособлиг.	2024-04-05		
exchange_ppif	SBCS	SBCS ETF Conservative smart	SBCS ETF	БПИФ Первая Консерватив смарт	2021-06-09		
private_ppif	RU000A101YY2	PIF Alfa-Capital Arendn.potok2	ПИФАльфАП2	ЗПИФ Альфа-К Арендный поток-2	2020-11-02		
exchange_ppif	AKUP	AKUP ETF Smart portfolio	AKUP ETF	Альфа-Капитал Умный портфель	2024-01-31		
public_ppif	RU000A0JVHY6	OPIF BCS Imperia	БКСИмперия	ОПИФ БКС Империя	2021-08-30		
interval_ppif	RU000A0ZZVH9	PIF Gazprombank Eurobonds	ГПБУАЕОбИП	ПИФ Газпромбанк-Еврооблигации	2019-02-12		
