parents	labels	shortname	shortname_rus	name_rus	history_from	history_till	trace_color	wiki_page
exchange_bond	RU000A1005L6	Sistema PJSFC 001P-09	Система1P9	АФК Система БО 001P-09	2019-03-06			
exchange_bond	RU000A1005N2	Solid-Leasing BO-001-04	СолЛизБО04	Солид-Лизинг ООО БО-001-04	2019-03-11			
exchange_bond	RU000A1005T9	Garant-Invest BO 001P-05	ГарИнв1P05	ФПК Гарант-Инвест БО 001P-05	2019-03-12			
exchange_bond	RU000A1005Y9	ROLF JSC BO 001P-01	РОЛЬФ 1Р01	РОЛЬФ АО БО 001Р-01	2019-03-12			
exchange_bond	RU000A100634	Sberbank IOS 001P-67R	СберИОС67	Сбербанк ПАО ИОС 001P-67R	2019-03-12			
exchange_bond	RU000A100691	Bank RRDB 1P-03	ВБРР 1P-03	ВБРР 001P-03	2019-03-15			
exchange_bond	RU000A1006B5	Myasnichiy BO-P03	МясничБОП3	Мясничий БО-П03	2019-03-15			
exchange_bond	RU000A1006C3	Pioneer Leasing BO-P02	ПионЛизБП2	Пионер-Лизинг БО-П02	2019-03-15			
exchange_bond	RU000A1006D1	Sberbank IOS 001P-68R	СберБ Б68R	Сбербанк ПАО ИОС 001P-68R	2019-03-18			
exchange_bond	RU000A1006G4	MegaFon BO-001P-06	Мегафон1P6	МегаФон ПАО БО-001P-06	2019-03-18			
exchange_bond	RU000A1006H2	MegaFon BO-002P-01	Мегафон2P1	МегаФон ПАО БО-002P-01	2019-03-18			
exchange_bond	RU000A1006R1	Sberbank IOS 001P-72R	СберИОС72	Сбербанк ПАО ИОС 001P-72R	2019-03-21			
exchange_bond	RU000A100725	Bright Finance BO-P01	БрайтФ БП1	Брайт Финанс ООО БО-П01	2019-03-28			
exchange_bond	RU000A100733	AVTOBAN-Finance B0-P02	АВТОБФ БП2	АВТОБАН-Финанс АО БО-П02	2019-03-26			
exchange_bond	RU000A100741	Tradeberry LTD BO-P01	ТрейдбБОП1	Трейдберри ООО БО-П01	2019-03-26			
exchange_bond	RU000A100758	Sberbank IOS 001P-78R	СберБ Б78R	Сбербанк ПАО ИОС 001P-78R	2019-03-25			
exchange_bond	RU000A100774	Bank VTB B-1-27	ВТБ Б-1-27	Банк ВТБ (ПАО) Б-1-27	2019-03-26			
exchange_bond	RU000A100782	Lenta OOO BO-001P-02	Лента Б1P2	Лента ООО БО-001P-02	2019-03-27			
exchange_bond	RU000A100790	TRINFICO Holdings BO-01	ТРИНФ Х Б1	ТРИНФИКО Холдингс БО-01	2019-03-27			
exchange_bond	RU000A1007B3	Sberbank IOS 001P-70R	СберИОС70	Сбербанк ПАО ИОС 001P-70R	2019-03-26			
exchange_bond	RU000A1007C1	Sberbank IOS 001P-71R	СберИОС71	Сбербанк ПАО ИОС 001P-71R	2019-03-26			
exchange_bond	RU000A1007D9	Sberbank IOS 001P-69R	СберИОС69	Сбербанк ПАО ИОС 001P-69R	2019-03-26			
exchange_bond	RU000A1007E7	Gazprombank BO 001P-07P	ГПБ 1P-07P	ГПБ (АО) БО 001Р-07Р	2019-03-26			
exchange_bond	RU000A1007H0	SLAVNEFT 001P-02	Славнеф1Р2	Славнефть БО 001Р-02	2019-03-28			
exchange_bond	RU000A1007Q1	AVANGARD JSB BO-001P-02	АВНГРДБ1P2	АВАНГАРД АКБ ПАО БО-001P-02	2019-03-28			
exchange_bond	RU000A1007T5	Sberbank IOS 001P-74R	СберИОС74	Сбербанк ПАО ИОС 001P-74R	2019-03-29			
exchange_bond	RU000A1007U3	ARAGON LLC BO-P01	АРАГОН БП1	АРАГОН ООО БО-П01	2019-03-29			
exchange_bond	RU000A1007V1	KAMAZ PTC BO-P02	КАМАЗ БОП2	КАМАЗ ПАО БО-П02	2019-03-29			
exchange_bond	RU000A1007Z2	RZD BO 001P-13R	РЖД 1Р-13R	РЖД ОАО БО 001Р-13R	2019-04-01			
exchange_bond	RU000A100824	Enel Russia 001P-02R	Энел 1P-2R	Энел Россия 001P-02R	2019-04-02			
exchange_bond	RU000A100832	Gazprombank BO 001P-08P	ГПБ 1P-08P	ГПБ (АО) БО 001Р-08Р	2019-04-02			
exchange_bond	RU000A100840	Enel Russia 001P-03R	Энел 1P-3R	Энел Россия 001P-03R	2019-04-02			
exchange_bond	RU000A100881	Rostelecom 001P-05R	Ростел1P5R	Ростелеком ПАО 001P-05R	2019-04-03			
exchange_bond	RU000A1008A3	Sberbank IOS 001P-73R	СберИОС73	Сбербанк ПАО ИОС 001P-73R	2019-04-04			
exchange_bond	RU000A1008B1	Tinkoff Bank BO 001P-02R	Тинькофф2R	Тинькофф Банк БО 001Р-02R	2019-04-03			
exchange_bond	RU000A1008D7	RZD BO 001P-14R	РЖД 1Р-14R	РЖД ОАО БО 001Р-14R	2019-04-04			
exchange_bond	RU000A1008F2	Rosselkhozbank JSC BO-08P	РСХБ БО-8Р	Россельхозбанк АО БО-08Р	2019-04-04			
exchange_bond	RU000A1008J4	Sistema PJSFC 001P-10	Систем1P10	АФК Система БО 001P-10	2019-04-05			
exchange_bond	RU000A1008L0	Severstal BO-07	СеверстБ07	Северсталь ПАО БО-07	2019-04-05			
exchange_bond	RU000A1008P1	Rosneft 002P-06	Роснфт2P6	ПАО НК Роснефть 002P-06	2019-04-05			
exchange_bond	RU000A1008Q9	Rosneft 002P-07	Роснфт2P7	ПАО НК Роснефть 002P-07	2019-04-05			
exchange_bond	RU000A1008W7	Severstal BO-06	СеверстБ06	Северсталь ПАО БО-06	2019-04-09			
exchange_bond	RU000A1008Y3	Russian Post BO-001P-07	ПочтаРБ1P7	Почта России (АО) БО-001P-07	2019-04-09			
exchange_bond	RU000A1008Z0	EuroChem MCC JSC BO-001-P03	ЕврХимБ1Р3	ЕвроХим МХК АО БО-001Р-03	2019-04-09			
exchange_bond	RU000A100923	Sberbank IOS 001P-76R	СберИОС76	Сбербанк ПАО ИОС 001P-76R	2019-04-12			
exchange_bond	RU000A100931	Sberbank IOS 001P-77R	СберИОС77	Сбербанк ПАО ИОС 001P-77R	2019-04-12			
exchange_bond	RU000A100998	ALFA-BANK BO 002P-04	АЛЬФА-Б2Р4	АЛЬФА-БАНК АО БО 002Р-04	2019-04-12			
exchange_bond	RU000A1009A1	MegaFon BO-002P-02	Мегафон2P2	МегаФон ПАО БО-002P-02	2019-04-15			
exchange_bond	RU000A1009B9	Detsky mir PJSC BO-07	ДетМир БО7	Детский мир ПАО БО-07	2019-04-15			
exchange_bond	RU000A1009G8	Gazprombank BO 002P-08	ГПБ002P-08	ГПБ (АО) БО 002P-08	2019-04-15			
exchange_bond	RU000A1009L8	RZD BO 001P-15R	РЖД 1Р-15R	РЖД ОАО БО 001Р-15R	2019-04-17			
exchange_bond	RU000A1009M6	Transmashholding PBO-03	ТрансмхПБ3	Трансмашхолдинг АО ПБО-03	2019-04-17			
exchange_bond	RU000A1009R5	FES-Agro LLC BO-01	ФЭС-АгроБ1	ФЭС-Агро ООО БО-01	2019-04-18			
exchange_bond	RU000A1009Z8	OKEY LLC BO 001P-02	ОКЕЙ Б1Р2	ОКЕЙ ООО БО 001Р-02	2019-04-19			
exchange_bond	RU000A100A17	Sberbank IOS 001P-82R	СберИОС82	Сбербанк ПАО ИОС 001P-82R	2019-04-23			
exchange_bond	RU000A100A33	BurovayaKomp Evrazia BO001P-2	БКЕ БО 1P2	БуроваяКомп Евразия БО-001P-2	2019-04-23			
exchange_bond	RU000A100A41	Element Leasing BO 001P-02	ЭлемЛиз1P2	Элемент Лизинг БО 001P-02	2019-04-23			
exchange_bond	RU000A100A58	MTS 001P-08	МТС 1P-08	Мобильные ТелеСистемы 001P-08	2019-04-22			
exchange_bond	RU000A100A66	MTS 001P-09	МТС 1P-09	Мобильные ТелеСистемы 001P-09	2019-04-22			
exchange_bond	RU000A100A74	Sberbank IOS 001P-80R	СберБ Б80R	Сбербанк ПАО ИОС 001P-80R	2019-04-22			
exchange_bond	RU000A100A90	RN Bank BO-001P-05	РН БАНК1Р5	РН БАНК АО БО-001Р-05	2019-04-23			
exchange_bond	RU000A100AA4	TALAN-FINANCE BO 001P-01	ТАЛАНФБ1P1	ТАЛАН-ФИНАНС БО 001Р-01	2019-04-25			
exchange_bond	RU000A100AB2	X5 FINANSE 001P-05	ИКС5Фин1P5	ИКС 5 ФИНАНС 001P-05	2019-04-23			
