corporate_bond,RU000A0P1MZ1,Sber CIB-CO-712,СберСIB712,Сбер CIB-СО-712,2024-10-21,,
exchange_bond,RU000A109X37,Sber 001P-SBERD3,Сбер SbD3R,Сбербанк ПАО 001Р-SBERD3,2024-11-11,,
exchange_bond,RU000A109460,VEB.RF PBO-002P-K544,ВЭБ2P-К544,ВЭБ.РФ ПБО-002Р-К544,2024-10-17,,
exchange_bond,RU000A109TG2,Carsharing Russia 001P-04,iКарРус1P4,Каршеринг Руссия 001P-04,2024-10-18,,
exchange_bond,RU000A109SZ4,MegaFon BO-002P-07,Мегафон2P7,МегаФон ПАО БО-002P-07,2024-10-17,,
exchange_bond,RU000A109WZ6,ALFA-BANK 001P-16,АЛЬФАБ1Р16,АЛЬФА-БАНК Б1Р16,2024-10-29,,
corporate_bond,RU000A109GX4,Sber CIB-CO-EQ-001S-04,СберКИБ1P4,Сбер CIB-CO-EQ-001S-04,2024-10-25,,
corporate_bond,RU000A107ZT6,Sber CIB-CO-782,СберСIB782,Сбер CIB-СО-782,2024-11-19,,
exchange_bond,RU000A10A1P9,APRI BO-002P-05,АПРИ 2Р5,АПРИ БО-002Р-05,2024-11-12,,
exchange_bond,RU000A109TW9,MMC NORILSK NICKEL BO-10,НорНик Б10,ГМК Нор.никель БО-10,2024-10-22,,
exchange_bond,RU000A109YT5,ALFA-BANK 001P-17,АЛЬФАБ1Р17,АЛЬФА-БАНК Б1Р17,2024-11-01,,
exchange_bond,RU000A109VL8,Sovkombank B0-P05,СовкомБОП5,Совкомбанк БО-П05,2024-10-25,,
exchange_bond,RU000A10A554,APRI BO-002P-06,АПРИ 2Р6,АПРИ БО-002Р-06,2024-11-26,,
exchange_bond,RU000A10A0R7,ALFA-BANK 001P-18,АЛЬФАБ1Р18,АЛЬФА-БАНК Б1Р18,2024-11-12,,
exchange_bond,RU000A109PP1,ABZ-1 002P-01,АБЗ-1 2Р01,АБЗ-1 002Р-01,2024-10-09,,
