parents	labels	shortname	shortname_rus	name_rus	history_from	history_till
Electric Utilities	SLEN	Sakhalinenergo ao	Сахэнер ао	ПАО Сахалинэнерго ао	2017-02-06	
Electric Utilities	STSB	StavropolEnergoSbyt	СтаврЭнСб	Ставрополэнергосбыт ПАО ао	2014-06-09	
Electric Utilities	STSBP	StavropolEnergoSbyt (pref)	СтаврЭнСбп	Ставрополэнергосбыт ПАО ап	2014-06-09	
Electric Utilities	SVSB	Sverdlov Energo Sbyt	СвердЭС ао	Свердловэнергосбыт ОАО ао	2014-06-09	2014-09-26
Electric Utilities	SVSBP	Sverdlov Energo Sbyt pref	СвердЭС ап	Свердловэнергосбыт ОАО ап	2014-06-09	2014-09-26
Electric Utilities	TASB	Tambov EnergoSbyt Company	ТамбЭнСб	ао Тамбов.энергсбыт.комп. ПАО	2014-06-09	
Electric Utilities	TASBP	Tambov EnergoSbyt Comp. (pref)	ТамбЭнСб-п	ап Тамбов.энергсбыт.комп. ПАО	2014-06-09	
Electric Utilities	TGKA	TGK-1	ТГК-1	ао ПАО ТГК-1	2013-09-02	
Electric Utilities	TGKB	TGK-2	ТГК-2	ао ПАО ТГК-2	2014-06-09	
Electric Utilities	TGKBP	TGK-2 pref	ТГК-2 ап	ап ПАО ТГК-2	2014-06-09	
Electric Utilities	TGKD	PJSC Quadra - Power Generation	Квадра ао	ПАО Квадра ао	2014-06-09	2023-01-24
Electric Utilities	TGKDP	PJSC Quadra - Power Generation pref	Квадра ап	ПАО Квадра ап	2014-06-09	2023-01-24
Electric Utilities	TGKE	TGK-5	ТГК-5	ТГК-5 ОАО ао	2014-06-09	2014-11-27
Electric Utilities	TGKF	TGK-6	ТГК-6	ТГК-6 ОАО ао	2014-06-09	2014-11-27
Electric Utilities	TGKI	TGK-9	ТГК-9	ТГК-9 ОАО ао	2014-06-09	2014-11-27
Electric Utilities	TGKN	TGK-14	ТГК-14	ао ПАО ТГК-14	2014-06-09	
Electric Utilities	TNSE	PAO GK TNS energo ao	ТНСэнрг ао	ПАО ГК ТНС энерго ао	2015-06-17	
Electric Utilities	TORS	Tomsk raspredelit. komp ao	ТРК ао	ао Томская распределит.комп.	2014-06-09	
Electric Utilities	TORSP	Tomsk raspredelit. komp ap	ТРК ап	ап Томская распределит.комп.	2014-06-09	
Electric Utilities	UDSB	Udmurt Energo Sbyt	УдмуртЭС	Удмурт.энергосбыт.комп ОАО	2014-06-09	2014-09-26
Electric Utilities	UDSBP	Udmurt Energo Sbyt pref	УдмуртЭС-п	Удмурт.энергосбыт.компОАО-п	2014-06-09	2014-09-26
