date,marketCap,traceName
2019-03-18,41469156578800.836,total
2019-03-25,41508212241378.305,total
2019-04-01,41885477122289.55,total
2019-04-08,42264455482058.914,total
2019-04-15,42465209697431.69,total
2019-04-22,42941694540760.58,total
2019-04-29,42833261395109.266,total
2019-05-06,42560061441196.75,total
2019-05-13,41900170414909.62,total
2019-05-20,42498606911187.695,total
2019-05-27,43575504694452.875,total
2019-06-03,44623758014653.88,total
2019-06-10,44911033750138.86,total
2019-06-17,45192419040144.36,total
2019-06-24,45501166029131.27,total
2019-07-01,45948746495555.83,total
2019-07-08,46137538217313.625,total
2019-07-15,45427619943510.836,total
2019-07-22,44725807353386.875,total
2019-07-29,45276308357169.0,total
2019-08-05,44218944901915.72,total
2019-08-12,44613120262183.32,total
2019-08-19,43792645009939.96,total
2019-08-26,44289297786693.36,total
2019-09-02,45440703163669.516,total
2019-09-09,45906024983972.84,total
2019-09-16,46412604440182.7,total
2019-09-23,45994524744324.16,total
2019-09-30,45595175845899.55,total
2019-10-07,44549130775111.586,total
2019-10-14,44615123094192.97,total
2019-10-21,45217496354391.75,total
2019-10-28,46815585768164.23,total
2019-11-05,47910038901690.64,total
2019-11-11,48150472227947.65,total
2019-11-18,47596608555180.5,total
2019-11-25,47810132895395.695,total
2019-12-02,47480832867574.09,total
2019-12-09,47517745806379.38,total
2019-12-16,48514517268669.22,total
2019-12-23,48830134154838.8,total
2019-12-30,49169088582975.72,total
2020-01-06,49595977396715.125,total
2020-01-13,50953569278025.695,total
2020-01-20,52269746563220.83,total
2020-01-27,50075126273347.06,total
2020-02-03,49268542810379.41,total
2020-02-10,48954034902818.52,total
2020-02-17,49786988511030.66,total
2020-02-25,49440258437706.38,total
2020-03-02,45276929500391.36,total
2020-03-10,41245127784173.28,total
2020-03-16,35605656547689.266,total
2020-03-23,35923671572824.13,total
2020-03-30,38498565616728.72,total
2020-04-06,41917543514256.414,total
2020-04-13,42594421256158.48,total
2020-04-20,40680575862319.4,total
2020-04-27,41580003534762.72,total
2020-05-04,42082042386974.13,total
2020-05-12,42424874845946.75,total
